,the_geom,p_lecz,field_1,unique_id,id_no,site_id,name_seria,name_en,name_fr,date_inscr,sec_date,danger_lis,longitude,latitude,area_ha,area_ha1,c1,c2,c3,c4,c5,c6,criteria_t,category,category_s,states_en,states_fr,region_en,region_fr,iso_code,undp_code,transbound,her_type1,her_type2,buffer_ha,srtm_min,srtm_max,srtm_mean,cartodb_id,ur_grump,ur_mod_buf,ur_joined,dist_mcd,dist_gshhs,dist_join,column_2020_rcp2_6_flood,column_2020_rcp2_6_erosion,column_2020_rcp4_5_flood,column_2020_rcp4_5_erosion,column_2020_rcp8_5_flood,column_2020_rcp8_5_erosion,column_2020_high_end_flood,column_2020_high_end_erosion,column_2030_rcp2_6_flood,column_2030_rcp2_6_erosion,column_2030_rcp4_5_flood,column_2030_rcp4_5_erosion,column_2030_rcp8_5_flood,column_2030_rcp8_5_erosion,column_2030_high_end_flood,column_2030_high_end_erosion,column_2050_rcp2_6_flood,column_2050_rcp2_6_erosion,column_2050_rcp4_5_flood,column_2050_rcp4_5_erosion,column_2050_rcp8_5_flood,column_2050_rcp8_5_erosion,column_2050_high_end_flood,column_2050_high_end_erosion,column_2100_rcp2_6_flood,column_2100_rcp2_6_erosion,column_2100_rcp4_5_flood,column_2100_rcp4_5_erosion,column_2100_rcp8_5_flood,column_2100_rcp8_5_erosion,column_2100_high_end_flood,column_2100_high_end_erosion
2,0101000020E610000034750DE9A60934400A421E6654DF4340,0.2561722,0,0,570,0, ,Butrint,Butrint,1992,1999, ,20.0377031,39.74476315,-9999.0,397.23704560000004,0,1,1,0,1,0,(ii)(iii)(v),Cultural,C,Tunisia,Tunisie,Arab States,Ãtats arabes,tn,tun,0,2,,190.19,6,52,20.088,1,1,1,1,968.3177089,8476.570679,968.3177089,5.91,5.99,5.91,5.99,5.91,5.99,6.5,6.27,6.06,6.06,6.11,6.08,6.06,6.06,7.04,6.52,6.5,6.27,6.6,6.31,6.65,6.33,8.36,7.15,7.38,6.68,7.97,6.96,8.65,7.29,9.56,8.17
7,0101000020E61000005F36AE3DBB2F2B40D640CABA459D4640,1.0,5,5,809,0, ,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Pore?,Ensemble Ã©piscopal de la basilique euphrasienne dans le centre historique de Pore?,1997,0, ,13.59322541,45.22869048,1.1,1.149586797,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,Ãtats arabes,tn,tun,0,2,3.0,0.0,0,8,5.0,6,1,1,1,2.4915538269999997,64.65326007,2.4915538269999997,6.29,6.3,6.29,6.3,6.29,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.37,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.41,6.3,6.5,6.3
8,0101000020E610000087B08EA16B703040B0ADC00C1DC14540,1.0,6,6,97,0, ,Historical Complex of Split with the Palace of Diocletian,Noyau historique de Split avec le palais de DioclÃ©tien,1979,0, ,16.43914232,43.50869903,20.8,20.66201767,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,Ãtats arabes,tn,tun,0,3,,0.0,6,10,6.8571,7,1,1,1,303.35038480000003,425.01194699999996,303.35038480000003,5.96,6.59,5.96,6.59,5.96,6.59,6.53,6.59,6.06,6.59,6.1,6.59,6.06,6.59,6.95,6.59,6.34,6.59,6.48,6.59,6.48,6.59,7.96,6.59,7.0,6.59,7.47,6.59,7.96,6.59,8.35,6.59
9,0101000020E61000002E43B14FDF1D3240960AC77FC3504540,0.7287031999999999,7,7,95,2,Lokrum Island,Old City of Dubrovnik,Vieille ville de Dubrovnik,1979,1994,P 1991-1998,18.11668871,42.63096616,72.0,68.09909378,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,Ãtats arabes,tn,tun,0,2,3.0,0.0,0,25,7.6667,8,1,1,1,0.0,77.9835574,0.0,4.91,6.59,4.95,6.59,4.91,6.59,5.43,6.59,5.07,6.59,5.07,6.59,5.07,6.59,5.8,6.59,5.35,6.59,5.47,6.59,5.47,6.59,6.84,6.59,6.08,6.59,6.52,6.59,6.85,6.59,6.87,6.59
10,0101000020E6100000B19F498BC81B32408E62B1340D524540,0.0,8,10,95,1,Old City of Dubrovnik,Old City of Dubrovnik,Vieille ville de Dubrovnik,1979,1994,P 1991-1998,18.10852881,42.64102801,24.7,23.45091738,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,Ãtats arabes,tn,tun,0,3,,0.0,44,46,45.0,9,1,1,1,355.4008193,543.91029,355.4008193,4.91,6.59,4.95,6.59,4.91,6.59,5.43,6.59,5.07,6.59,5.07,6.59,5.07,6.59,5.8,6.59,5.35,6.59,5.47,6.59,5.47,6.59,6.84,6.59,6.08,6.59,6.52,6.59,6.85,6.59,6.87,6.59
12,0101000020E61000005F5B81193AC72F40B5C95D5B2ADE4540,0.0,10,9,963,0, ,The Cathedral of St James in Âibenik,CathÃ©drale Saint-Jacques de Âibenik,2000,0, ,15.88911514,43.73566763,0.1,0.083057799,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,Ãtats arabes,tn,tun,0,3,,0.0,26,36,32.333,11,1,1,1,102.73196329999999,246.86907290000002,102.73196329999999,8.28,5.37,8.28,5.37,8.28,5.37,8.8,5.53,8.4,5.41,8.44,5.42,8.4,5.41,9.2,5.65,8.68,5.49,8.8,5.53,8.8,5.53,10.0,5.94,9.36,5.69,9.8,5.82,10.0,5.96,10.0,6.5
13,0101000020E61000006E28842757A23040FC67171D5A974540,1.0,11,11,1240,0, ,Stari Grad Plain,Plaine de Stari Grad,2008,0, ,16.63414237,43.18243755,1376.53,1097.8658050000001,0,1,1,0,0,1,(ii)(iii)(vi),Cultural,C,Tunisia,Tunisie,Arab States,Ãtats arabes,tn,tun,0,2,3.0,0.0,0,8,4.7105,12,1,1,1,0.0,0.0,0.0,0.0,4.05,0.0,4.07,0.0,4.05,0.0,4.2,0.0,4.1,0.0,4.11,0.0,4.1,0.0,4.31,0.0,4.19,0.0,4.21,0.0,4.21,0.0,4.61,0.0,4.38,0.0,4.51,0.0,4.67,0.0,5.32
22,0101000020E61000006EAF9A2134EC33407C2BF104EBCF4340,0.7383972,20,27,978,0, ,Old Town of Corfu,Vieille ville de Corfou,2007,0, ,19.92267046,39.62435972,70.0,64.42864378,0,1,1,1,0,0,(ii)(iii)(iv),Cultural,C,Croatia,Croatie,Europe and North America,Europe et AmÃ©rique du nord,hr,hrv,0,2,,0.0,-3,16,5.0556,21,1,1,1,0.0,0.0,0.0,3.64,6.62,3.64,6.62,3.64,6.62,4.12,6.62,3.76,6.62,3.8,6.62,3.76,6.62,4.57,6.62,4.12,6.62,4.2,6.62,4.24,6.62,5.66,6.62,4.85,6.62,5.34,6.62,5.9,6.62,6.2,6.62
100,0101000020E610000003FAD04711C0324001F655E24F3B4540,0.0028456999999999996,100,126,125,0, ,Natural and Culturo-Historical Region of Kotor,ContrÃ©e naturelle et culturo-historique de Kotor,1979,0,P 1979-2003,18.75026368,42.46337537,14600.0,10100.60639,0,0,1,1,1,0,(iii)(iv)(v),Cultural,C,Italy,Italie,Europe and North America,Europe et AmÃ©rique du nord,it,ita,0,3,,0.0,10,46,26.86,101,1,1,1,1758.903387,2004.7055440000001,1758.903387,6.08,6.67,6.08,6.67,6.04,6.67,6.57,6.67,6.2,6.67,6.24,6.67,6.24,6.67,6.97,6.67,6.61,6.67,6.69,6.67,6.69,6.67,7.93,6.67,7.41,6.67,7.85,6.67,7.93,6.67,7.94,6.67
